# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495360648270e-10       7.310220140970e-15       4.818462822868e-13       0.000000000000e+00       8.640858655067e-09       4.853661150430e-10      -2.516818924918e-12 
    3       1.409121887880e-10       1.239027818333e-14       6.073270288270e-13       0.000000000000e+00       5.414626811958e-09       3.468271666131e-10      -2.212604999792e-12 
    4       1.324149503016e-10       1.446930499769e-14       6.283498596117e-13       0.000000000000e+00       3.778463118596e-09       2.638937854989e-10      -1.765220831475e-12 
    5       1.256774008560e-10       1.338463356817e-14       5.885511143059e-13       0.000000000000e+00       2.823627818912e-09       2.093189255226e-10      -1.310622406706e-12 
    6       1.207034649966e-10       1.033057694329e-14       5.180082578346e-13       0.000000000000e+00       2.206703978863e-09       1.708959933534e-10      -8.959077024334e-13 
    7       1.172072426811e-10       6.848985727078e-15       4.371444063425e-13       0.000000000000e+00       1.779596042984e-09       1.425471021721e-10      -5.453812443957e-13 
    8       1.148538304094e-10       4.048205752758e-15       3.582784951979e-13       0.000000000000e+00       1.469648132811e-09       1.208921708061e-10      -2.698269411365e-13 
    9       1.134029379821e-10       2.339802014655e-15       2.887069551533e-13       0.000000000000e+00       1.237106857258e-09       1.038899803880e-10      -7.086235261872e-14 
   10       1.126437004628e-10       1.572831747506e-15       2.324801678655e-13       0.000000000000e+00       1.057853682230e-09       9.029340168069e-11       5.683893979039e-14 
   11       1.124297282239e-10       1.345746873765e-15       1.912874769956e-13       0.000000000000e+00       8.893884643774e-10       7.947826245525e-11       1.228462970581e-13 
   12       1.126679942301e-10       1.288014038466e-15       1.648720488133e-13       0.000000000000e+00       7.771701872882e-10       7.028406780670e-11       1.418340192016e-13 
   13       1.132207299723e-10       1.201075534737e-15       1.514703858886e-13       0.000000000000e+00       6.850511892593e-10       6.274404251081e-11       1.275120174589e-13 
   14       1.139935743114e-10       1.056226878853e-15       1.484450229135e-13       0.000000000000e+00       6.084038039946e-10       5.620493927059e-11       9.270921293415e-14 
   15       1.149937827759e-10       9.129533648009e-16       1.528554439105e-13       0.000000000000e+00       5.438862555005e-10       5.073872954670e-11       4.963598839282e-14 
   16       1.161955322241e-10       8.324788253657e-16       1.616711237475e-13       0.000000000000e+00       4.890305250985e-10       4.611840577303e-11       7.393364227146e-15 
   17       1.174925914042e-10       8.324275274870e-16       1.723430008166e-13       0.000000000000e+00       4.419722366023e-10       4.213621100657e-11      -2.768062323791e-14 
   18       1.189074487910e-10       8.857223244827e-16       1.830144539532e-13       0.000000000000e+00       4.011255987339e-10       3.858349585490e-11      -5.206927617785e-14 
   19       1.204480894206e-10       9.598583993688e-16       1.927432045290e-13       0.000000000000e+00       3.658457256035e-10       3.543733383675e-11      -6.488938963133e-14 
   20       1.220476798473e-10       1.021406548091e-15       2.008189236274e-13       0.000000000000e+00       3.347710975428e-10       3.266241245304e-11      -6.694841974186e-14 
   21       1.237202752881e-10       1.073125170181e-15       2.072929291275e-13       0.000000000000e+00       3.074141342010e-10       3.021763964827e-11      -6.035746569559e-14 
   22       1.254714655355e-10       1.132890173945e-15       2.125713631302e-13       0.000000000000e+00       2.831215696318e-10       2.801835953409e-11      -4.843781478414e-14 
   23       1.272878460078e-10       1.220132477008e-15       2.171098808376e-13       0.000000000000e+00       2.615597578296e-10       2.602571097562e-11      -3.414553799583e-14 
   24       1.291325223980e-10       1.353567006962e-15       2.214539421372e-13       0.000000000000e+00       2.422303650102e-10       2.419776175187e-11      -2.059876320803e-14 
   25       1.310241582758e-10       1.533593494431e-15       2.261011956565e-13       0.000000000000e+00       2.249064527970e-10       2.254716418901e-11      -9.631690545151e-15 
   26       1.329788880880e-10       1.753176149608e-15       2.314928868316e-13       0.000000000000e+00       2.092749830658e-10       2.108334519219e-11      -2.561709339937e-15 
   27       1.349784098609e-10       2.006055019315e-15       2.376483586281e-13       0.000000000000e+00       1.951486318056e-10       1.977533354769e-11       4.377645580457e-16 
   28       1.369865506521e-10       2.286009920126e-15       2.443831935197e-13       0.000000000000e+00       1.822839615015e-10       1.857229508250e-11      -2.343566147111e-16 
   29       1.390124849157e-10       2.592523057461e-15       2.513919131607e-13       0.000000000000e+00       1.706153919938e-10       1.746785163185e-11      -3.809637234852e-15 
   30       1.410697469685e-10       2.926707660681e-15       2.582364698900e-13       0.000000000000e+00       1.600177555242e-10       1.646017237658e-11      -9.124569713595e-15 
   31       1.431614735730e-10       3.289082112777e-15       2.643998588853e-13       0.000000000000e+00       1.502750372417e-10       1.553844914235e-11      -1.479877648804e-14 
   32       1.452904991766e-10       3.677698356157e-15       2.695051809842e-13       0.000000000000e+00       1.413370443901e-10       1.469523168481e-11      -1.993860470390e-14 
   33       1.474503171061e-10       4.089216369279e-15       2.731678129186e-13       0.000000000000e+00       1.331406941819e-10       1.391686442167e-11      -2.366899128965e-14 
   34       1.496282907343e-10       4.520754317151e-15       2.750169236217e-13       0.000000000000e+00       1.255714273545e-10       1.318547073894e-11      -2.518445173489e-14 
   35       1.518312089123e-10       4.974874572056e-15       2.749835030730e-13       0.000000000000e+00       1.185905924147e-10       1.250040188867e-11      -2.459758287738e-14 
   36       1.540670242564e-10       5.456405693950e-15       2.731153678080e-13       0.000000000000e+00       1.121422711238e-10       1.186338694625e-11      -2.239850215789e-14 
   37       1.563382487151e-10       5.970373099888e-15       2.695015913325e-13       0.000000000000e+00       1.061426378373e-10       1.127331225808e-11      -1.917987196317e-14 
   38       1.586450637213e-10       6.519153346884e-15       2.642618666447e-13       0.000000000000e+00       1.005762453651e-10       1.072898144942e-11      -1.541699755489e-14 
   39       1.609820032077e-10       7.104425035013e-15       2.575590494849e-13       0.000000000000e+00       9.542547891633e-11       1.022670676974e-11      -1.163026430541e-14 
   40       1.633362259727e-10       7.727933566724e-15       2.496059692825e-13       0.000000000000e+00       9.064126547491e-11       9.759178583211e-12      -8.453027237057e-15 
   41       1.656933435290e-10       8.391160902476e-15       2.406054192780e-13       0.000000000000e+00       8.616018285153e-11       9.317875384617e-12      -6.474686157095e-15 
   42       1.680588652308e-10       9.094200601706e-15       2.305392367437e-13       0.000000000000e+00       8.196908278174e-11       8.901972555520e-12      -5.691680139812e-15 
   43       1.704425580577e-10       9.836520021522e-15       2.193157392219e-13       0.000000000000e+00       7.805688547866e-11       8.511818980743e-12      -5.889530672552e-15 
   44       1.728522769349e-10       1.061724058929e-14       2.068256468882e-13       0.000000000000e+00       7.439518736856e-11       8.146354591879e-12      -6.787121607021e-15 
