# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495365495203e-10       7.310471739500e-15       4.818462770908e-13       2.515984860774e-19       8.640858655067e-09       4.853661150430e-10      -2.516818924918e-12 
    3       1.409131560111e-10       1.239078161238e-14       6.073270057130e-13       5.034286269335e-19       5.414626811958e-09       3.468271666131e-10      -2.212604999792e-12 
    4       1.324165575864e-10       1.447014455436e-14       6.283497933578e-13       8.395545623100e-19       3.778463118596e-09       2.638937854989e-10      -1.765220831475e-12 
    5       1.256798029985e-10       1.338589383873e-14       5.885509638278e-13       1.260263375876e-18       2.823627818912e-09       2.093189255226e-10      -1.310622406706e-12 
    6       1.207068134967e-10       1.033234285874e-14       5.180079630070e-13       1.765895886549e-18       2.206703978863e-09       1.708959933534e-10      -8.959077024334e-13 
    7       1.172116852585e-10       6.851342608145e-15       4.371438852889e-13       2.356835676403e-18       1.779596042984e-09       1.425471021721e-10      -5.453812443957e-13 
    8       1.148595106060e-10       4.051239343202e-15       3.582776420998e-13       3.033496920281e-18       1.469648132811e-09       1.208921708061e-10      -2.698269411365e-13 
    9       1.134099948558e-10       2.343598501790e-15       2.887056386058e-13       3.796311492481e-18       1.237106857258e-09       1.038899803880e-10      -7.086235261872e-14 
   10       1.126522683777e-10       1.577477769403e-15       2.324782297829e-13       4.645715852423e-18       1.057853682230e-09       9.029340168069e-11       5.683893979039e-14 
   11       1.124399367364e-10       1.351329512957e-15       1.912847320501e-13       5.582138217529e-18       8.893884643774e-10       7.947826245525e-11       1.228462970581e-13 
   12       1.126799680690e-10       1.294620802422e-15       1.648682843680e-13       6.605986517346e-18       7.771701872882e-10       7.028406780670e-11       1.418340192016e-13 
   13       1.132345891063e-10       1.208794323770e-15       1.514653623668e-13       7.717637588864e-18       6.850511892593e-10       6.274404251081e-11       1.275120174589e-13 
   14       1.140094340966e-10       1.065145942506e-15       1.484384745330e-13       8.917428020360e-18       6.084038039946e-10       5.620493927059e-11       9.270921293415e-14 
   15       1.150117541731e-10       9.231612481284e-16       1.528470796985e-13       1.020564698211e-17       5.438862555005e-10       5.073872954670e-11       4.963598839282e-14 
   16       1.162157220719e-10       8.440643067966e-16       1.616606287460e-13       1.158253129975e-17       4.890305250985e-10       4.611840577303e-11       7.393364227146e-15 
   17       1.175151027360e-10       8.454795502291e-16       1.723300373851e-13       1.304826293317e-17       4.419722366023e-10       4.213621100657e-11      -2.768062323791e-14 
   18       1.189323811857e-10       9.003299227031e-16       1.829986631273e-13       1.460296775159e-17       4.011255987339e-10       3.858349585490e-11      -5.206927617785e-14 
   19       1.204755393360e-10       9.761106265971e-16       1.927242070714e-13       1.624672377923e-17       3.658457256035e-10       3.543733383675e-11      -6.488938963133e-14 
   20       1.220777410210e-10       1.039392396047e-15       2.007963214417e-13       1.797955303906e-17       3.347710975428e-10       3.266241245304e-11      -6.694841974186e-14 
   21       1.237530390273e-10       1.092933503298e-15       2.072663058211e-13       1.980144550450e-17       3.074141342010e-10       3.021763964827e-11      -6.035746569559e-14 
   22       1.255070210843e-10       1.154609653113e-15       2.125402850059e-13       2.171234940077e-17       2.831215696318e-10       2.801835953409e-11      -4.843781478414e-14 
   23       1.273262807625e-10       1.243851505725e-15       2.170738970026e-13       2.371219989049e-17       2.615597578296e-10       2.602571097562e-11      -3.414553799583e-14 
   24       1.291739222012e-10       1.379373666444e-15       2.214125850473e-13       2.580090932337e-17       2.422303650102e-10       2.419776175187e-11      -2.059876320803e-14 
   25       1.310686075110e-10       1.561575508910e-15       2.260539808291e-13       2.797840092903e-17       2.249064527970e-10       2.254716418901e-11      -9.631690545151e-15 
   26       1.330264698713e-10       1.783420837573e-15       2.314393130061e-13       3.024459686627e-17       2.092749830658e-10       2.108334519219e-11      -2.561709339937e-15 
   27       1.350292060464e-10       2.038649273554e-15       2.375879073855e-13       3.259944789351e-17       1.951486318056e-10       1.977533354769e-11       4.377645580457e-16 
   28       1.370406418984e-10       2.321040178806e-15       2.443153293224e-13       3.504292575326e-17       1.822839615015e-10       1.857229508250e-11      -2.343566147111e-16 
   29       1.390699504787e-10       2.630075317581e-15       2.513160834150e-13       3.757505800828e-17       1.706153919938e-10       1.746785163185e-11      -3.809637234852e-15 
   30       1.411306646867e-10       2.966867462235e-15       2.581521050923e-13       4.019590818016e-17       1.600177555242e-10       1.646017237658e-11      -9.124569713595e-15 
   31       1.432259198416e-10       3.331934523750e-15       2.643063732319e-13       4.290557580031e-17       1.502750372417e-10       1.553844914235e-11      -1.479877648804e-14 
